,city,state,population_2018,population_2010,change,area_in_miles,area_in_kms,population_density_in_miles,population_density_in_kms,location,wiki_url,mayor,website
183,Mesquite,Texas,142816.0,139824.0,2.14,47.2,122.2,3045.0,1176.0,32°45′46″N 96°35′20″W,"https://en.wikipedia.org/wiki/Mesquite,_Texas",,
184,Syracuse,New York,142749.0,145170.0,1.67,25.0,64.7,5735.0,2214.0,43°02′28″N 76°08′37″W,"https://en.wikipedia.org/wiki/Syracuse,_New_York",,
185,Midland,Texas,142344.0,111147.0,28.07,74.4,192.7,1809.0,698.0,32°01′29″N 102°06′49″W,"https://en.wikipedia.org/wiki/Midland,_Texas",Jerry Morales,midlandtexas.gov
186,Pasadena,California,141371.0,137122.0,3.1,23.0,59.6,6176.0,2385.0,34°09′38″N 118°08′23″W,"https://en.wikipedia.org/wiki/Pasadena,_California",Terry Tornek,
187,Murfreesboro,Tennessee,141344.0,108755.0,29.97,55.9,144.8,2360.0,910.0,35°51′08″N 86°24′58″W,"https://en.wikipedia.org/wiki/Murfreesboro,_Tennessee",Shane McFarland (,
188,Miramar,Florida,140823.0,122041.0,15.39,29.4,76.1,4709.0,1818.0,25°58′37″N 80°20′09″W,"https://en.wikipedia.org/wiki/Miramar,_Florida",Wayne M. Messam,
189,Dayton,Ohio,140640.0,141527.0,0.63,55.7,144.3,2522.0,974.0,39°46′39″N 84°11′59″W,"https://en.wikipedia.org/wiki/Dayton,_Ohio",,
190,Fullerton,California,139640.0,135161.0,3.31,22.4,58.0,6282.0,2425.0,33°53′09″N 117°55′41″W,"https://en.wikipedia.org/wiki/Fullerton,_California",City Council,
191,Olathe,Kansas,139605.0,125872.0,10.91,60.9,157.7,2225.0,859.0,38°53′03″N 94°49′10″W,"https://en.wikipedia.org/wiki/Olathe,_Kansas",Michael Copeland,olatheks.org
192,Orange,California,139484.0,136416.0,2.25,25.4,65.8,5532.0,2136.0,33°47′13″N 117°51′41″W,"https://en.wikipedia.org/wiki/Orange,_California",,cityoforange.org
193,Thornton,Colorado,139436.0,118772.0,17.4,35.7,92.5,3829.0,1478.0,39°55′10″N 104°56′34″W,"https://en.wikipedia.org/wiki/Thornton,_Colorado",,
194,Roseville,California,139117.0,118788.0,17.11,43.0,111.4,3085.0,1191.0,38°46′08″N 121°19′08″W,"https://en.wikipedia.org/wiki/Roseville,_California",Susan Rohan,
195,Denton,Texas,138541.0,113383.0,22.19,93.4,241.9,1433.0,553.0,33°13′00″N 97°08′29″W,"https://en.wikipedia.org/wiki/Denton,_Texas",City Council,
